"x","y","urchin.density.m2"
114.982225,-29.513656,NA
114.982177,-29.513639,NA
114.982115,-29.513636,NA
114.982065,-29.513637,NA
114.982022,-29.513642,0.991099357
114.981985,-29.513646,NA
114.981937,-29.513656,1.038129177
114.981887,-29.513661,NA
114.981838,-29.513652,NA
114.981783,-29.513631,0.553922432
114.98173,-29.513597,0.712185984
114.981688,-29.513557,NA
114.981647,-29.513516,NA
114.981602,-29.513481,NA
114.981557,-29.513442,1.058497018
114.981512,-29.513411,0.569202334
114.98147,-29.513379,0.539677131
114.98142,-29.513351,NA
114.981375,-29.513316,1.626039946
114.981328,-29.513279,0.457394733
114.981278,-29.513241,0.833678578
114.981237,-29.513211,1.41281864
114.981183,-29.513179,2.428647311
114.981138,-29.513139,2.934963568
114.981098,-29.513096,2.55646035
114.98106,-29.513061,1.278035353
114.981032,-29.513024,2.346992941
114.980977,-29.512987,1.803856691
114.980933,-29.512949,5.714206374
114.980895,-29.512914,3.947197527
114.98085,-29.512876,1.372310417
114.980822,-29.512844,2.616152052
114.98079,-29.512814,4.728350663
114.98076,-29.512781,6.692371943
114.980735,-29.512732,3.839335972
114.980703,-29.512692,2.142315313
114.980675,-29.512661,1.351048634
114.980645,-29.512629,1.552402401
114.98061,-29.512604,1.753669447
114.980577,-29.512567,1.991822088
114.980532,-29.512536,2.033726737
114.980497,-29.512499,1.891215294
114.980442,-29.512464,3.408742098
114.980398,-29.512427,2.194932821
114.980353,-29.512397,4.848822221
114.980318,-29.512372,2.73287506
114.980277,-29.512349,1.735416127
114.980242,-29.512322,17.96085149
114.9802,-29.512292,4.052406409
114.98017,-29.512259,1.471907461
114.980117,-29.512224,1.156459602
114.98009,-29.512192,NA
114.980052,-29.512164,NA
114.98001,-29.512137,1.155160588
114.979967,-29.512101,1.98128445
114.979915,-29.512074,1.91070051
114.979877,-29.512041,1.51718841
114.979825,-29.512016,NA
114.979793,-29.511992,NA
114.97975,-29.511966,NA
114.979713,-29.511942,NA
114.979677,-29.511912,NA
114.979637,-29.511886,NA
114.979615,-29.511867,NA
114.979585,-29.511846,NA
114.97956,-29.511816,NA
114.979535,-29.511787,NA
114.979502,-29.511754,2.982431033
114.97947,-29.511726,NA
114.979445,-29.511699,NA
114.979418,-29.511681,NA
114.979392,-29.511661,NA
114.97936,-29.511639,NA
114.979312,-29.511622,NA
114.979273,-29.511597,NA
114.979207,-29.511567,NA
114.97916,-29.511544,NA
114.979115,-29.511509,NA
114.979078,-29.511477,1.46540326
114.979045,-29.511442,1.024489361
114.979003,-29.511411,NA
114.978965,-29.511376,NA
114.978923,-29.511339,NA
114.978883,-29.511314,NA
114.978843,-29.511282,NA
114.97881,-29.511249,NA
114.978778,-29.511224,NA
114.978743,-29.511192,NA
114.978695,-29.511156,NA
114.978653,-29.511107,0.562806455
114.978607,-29.511064,2.119303098
114.978572,-29.511021,1.740650793
114.978532,-29.510982,1.991228118
114.978497,-29.510947,2.364365402
114.978458,-29.510902,1.357152279
114.978428,-29.510864,1.21043478
114.97839,-29.510821,2.814384501
114.978358,-29.510776,5.74242415
114.978325,-29.510731,2.319204605
114.978268,-29.510686,0.508179247
114.978227,-29.510641,2.108644289
114.978173,-29.510601,1.318674843
114.978132,-29.510574,2.001764568
114.978088,-29.510539,1.413265306
114.97804,-29.510511,0.810795057
114.977993,-29.510474,2.217070117
114.977952,-29.510431,1.884353742
114.977912,-29.510387,0.957496569
114.977872,-29.510349,NA
114.977818,-29.510304,NA
114.97777,-29.510262,NA
114.977735,-29.510222,1.120255557
114.977695,-29.510174,NA
114.977665,-29.510134,1.152541176
114.977638,-29.510097,2.657617429
114.977608,-29.510064,2.378358565
114.977565,-29.510021,1.53014829
114.977522,-29.509984,NA
114.977472,-29.509957,2.460883301
114.977433,-29.509932,2.24079985
114.97739,-29.509911,NA
114.977345,-29.509886,NA
114.9773,-29.509861,NA
114.977235,-29.509827,NA
114.977197,-29.509789,1.237672059
114.977155,-29.509746,0.9220567
114.977123,-29.509712,NA
114.977087,-29.509667,NA
114.977043,-29.509627,3.507032406
114.977,-29.509587,NA
114.976963,-29.509554,NA
114.976915,-29.509516,NA
114.976872,-29.509481,NA
114.976833,-29.509442,NA
114.976797,-29.509409,NA
114.976762,-29.509372,NA
114.976733,-29.509341,NA
114.976698,-29.509301,NA
114.976665,-29.509266,NA
114.976623,-29.509226,NA
114.97659,-29.509186,NA
114.97655,-29.509159,NA
114.97652,-29.509122,NA
114.976488,-29.509082,NA
114.976458,-29.509046,NA
114.976427,-29.509004,NA
114.976405,-29.508971,NA
114.976368,-29.508929,NA
114.97634,-29.508882,NA
114.97631,-29.508841,NA
114.976285,-29.508797,NA
114.97625,-29.508731,NA
114.976212,-29.508674,NA
114.97617,-29.508617,NA
114.976125,-29.508571,NA
114.976075,-29.508521,NA
114.976032,-29.508482,NA
114.975983,-29.508429,NA
114.97594,-29.508376,NA
114.975895,-29.508331,NA
114.975835,-29.508287,NA
114.975777,-29.508251,NA
114.975727,-29.508214,NA
114.975683,-29.508186,NA
114.975622,-29.508156,NA
114.975575,-29.508136,NA
114.975495,-29.508112,NA
114.97543,-29.508092,NA
114.97537,-29.508064,NA
114.975323,-29.508046,NA
114.975268,-29.508021,NA
114.97522,-29.508002,NA
114.975172,-29.507972,NA
114.975123,-29.507947,NA
114.97507,-29.507919,NA
114.975027,-29.507894,NA
114.974977,-29.507877,NA
114.974922,-29.507862,NA
114.974865,-29.507856,NA
114.974797,-29.507844,NA
114.974715,-29.507832,NA
114.974642,-29.507812,NA
114.974578,-29.507789,NA
114.974515,-29.507759,NA
114.974468,-29.507727,NA
114.974412,-29.507694,NA
114.974368,-29.507664,NA
114.974322,-29.507634,NA
114.974283,-29.507604,NA
114.974237,-29.507562,NA
114.974198,-29.507529,NA
114.974155,-29.507489,NA
114.974125,-29.507459,NA
114.974073,-29.507419,NA
114.974037,-29.507384,NA
114.973982,-29.507351,NA
114.973928,-29.507316,NA
114.973882,-29.507276,3.539477474
114.973842,-29.507226,1.803761197
114.973803,-29.507174,NA
114.973772,-29.507122,2.794336201
114.973738,-29.507074,7.259256008
114.973707,-29.507031,NA
114.973678,-29.506977,NA
114.973642,-29.506941,NA
114.973603,-29.506897,NA
114.973582,-29.506856,NA
114.973555,-29.506822,NA
114.973542,-29.506797,NA
114.973535,-29.506781,NA
114.973533,-29.506767,NA
114.97353,-29.506759,NA
114.973538,-29.506751,NA
114.97354,-29.506747,NA
114.973548,-29.506749,NA
114.973557,-29.506752,NA
114.973567,-29.506762,NA
114.973578,-29.506771,NA
114.973588,-29.506786,NA
114.973598,-29.506799,NA
114.97361,-29.506812,NA
114.97362,-29.506821,NA
114.973633,-29.506834,NA
114.973642,-29.506844,NA
114.973645,-29.506857,NA
114.973653,-29.506867,NA
114.973657,-29.506882,NA
114.973665,-29.506894,NA
114.973672,-29.506906,NA
114.973682,-29.506911,NA
114.973695,-29.506909,NA
114.973715,-29.506916,NA
114.97373,-29.506916,NA
114.973745,-29.506921,NA
114.973755,-29.506922,NA
114.973763,-29.506926,NA
114.973775,-29.506927,NA
114.973783,-29.506929,NA
114.973798,-29.506936,NA
114.973807,-29.506937,NA
114.973818,-29.506941,NA
114.973832,-29.506944,NA
114.97384,-29.506947,NA
114.97386,-29.506952,NA
114.97387,-29.506957,NA
114.983995,-29.520337,NA
114.984072,-29.520431,NA
114.984137,-29.520504,NA
114.98419,-29.520559,NA
114.984212,-29.520586,NA
114.984222,-29.520596,NA
114.984222,-29.520596,NA
114.984227,-29.520597,NA
114.984232,-29.520599,1.768132639
114.98424,-29.520604,NA
114.98424,-29.520604,NA
114.984243,-29.520609,4.527241613
114.984243,-29.520609,NA
114.984245,-29.520614,NA
114.984243,-29.520627,NA
114.984263,-29.520719,NA
114.98428,-29.520816,NA
114.984302,-29.520907,NA
114.984323,-29.520994,NA
114.984353,-29.521074,NA
114.98438,-29.521151,NA
114.98441,-29.521236,1.091539769
114.984438,-29.521309,2.412264405
114.984448,-29.521372,4.334221258
114.984445,-29.521436,0.450964173
114.984443,-29.521497,NA
