marine.park,latitude,longitude,zone,jurisdiction,fish,auv
Geographe Bay,-33.414,115.299,Special Purpose,commonwealth,"<iframe width=""645"" height=""365"" src=""https://www.youtube.com/embed/QFLGJPNairI?autoplay=1"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",
Geographe Bay,-33.537,115.279,Multiple Use,commonwealth,"<video width=""645"" autoplay controls <source src=""https://github.com/UWAMEGFisheries/UWAMEGFisheries.github.io/blob/master/videos/Compilations/test-video.mp4?raw=true"" type=""video/mp4""> </video>",
Geographe Bay,-33.549,115.385,National Park,commonwealth,"<video width=""645"" autoplay controls <source src=""https://github.com/UWAMEGFisheries/UWAMEGFisheries.github.io/blob/master/videos/Compilations/test-video-2.mp4?raw=true"" type=""video/mp4""> </video>",
Geographe Bay,-33.571,115.219,Habitat Protection,commonwealth,"<video width=""645"" autoplay controls <source src=""https://github.com/UWAMEGFisheries/UWAMEGFisheries.github.io/blob/master/videos/Compilations/test-video-2.mp4?raw=true"" type=""video/mp4""> </video>",
Geographe Bay,-33.477925,115.2743343,Test,commonwealth,,"<div class=""sketchfab-embed-wrapper""> <iframe title=""A 3D model"" width=""400"" height=""300"" src=""https://sketchfab.com/models/2f5bb1e3fd824d65a2d090a1f78f3d9a/embed?autostart=1&amp;preload=1&amp;ui_controls=1&amp;ui_infos=1&amp;ui_inspector=1&amp;ui_stop=1&amp;ui_watermark=1&amp;ui_watermark_link=1"" frameborder=""0"" allow=""autoplay; fullscreen; vr"" mozallowfullscreen=""true"" webkitallowfullscreen=""true""></iframe> <p style=""font-size: 13px; font-weight: normal; margin: 5px; color: by <a href=""https://sketchfab.com/KyeAdams?utm_medium=embed&utm_source=website&utm_campaign=share-popup"" target=""_blank"" style=""font-weight: bold; color: #1CAAD9;"">KyeAdams</a> #4A4A4A;""> <a href=""https://sketchfab.com/3d-models/15fps-2f5bb1e3fd824d65a2d090a1f78f3d9a?utm_medium=embed&utm_source=website&utm_campaign=share-popup"" target=""_blank"" style=""font-weight: bold; color: #1CAAD9;"">15fps</a> on <a href=""https://sketchfab.com?utm_medium=embed&utm_source=website&utm_campaign=share-popup"" target=""_blank"" style=""font-weight: bold; color: #1CAAD9;"">Sketchfab</a> </p> </div>"
South-west Corner,-34.1256,114.8858,National Park,commonwealth,"<video width=""645"" autoplay controls <source src=""https://github.com/UWAMEGFisheries/UWAMEGFisheries.github.io/blob/master/videos/Compilations/test-video-2.mp4?raw=true"" type=""video/mp4""> </video>",
Ningaloo,-22.728,113.557,National Park,commonwealth,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ELbPFI5l9-g"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",
Ningaloo,-22.824,113.517,Multiple Use,commonwealth,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ELbPFI5l9-g"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",
Ningaloo,-22.445,113.677,General Use,state,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ELbPFI5l9-g"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",
Ningaloo,-22.136,113.778,Recreation,commonwealth,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ELbPFI5l9-g"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",
